Timestamp,Dataset,Model,Accuracy,F1_Macro,Latency_ms,Size_MB
25/01/2026 15:21,fashion_mnist,vit,0.8319,0.8313,0.4879,9.63
25/01/2026 15:33,fashion_mnist,cnn,0.1138,0.0392,0.2072,10.16
25/01/2026 15:35,cifar10,cnn,0.7944,0.7919,0.2989,15.42
25/01/2026 15:35,fashion_mnist,rnn,0.0998,0.0791,0.2311,1.56
25/01/2026 15:36,cifar10,rnn,0.5706,0.5667,0.2666,1.95
25/01/2026 17:27,cifar10,vit,0.6026,0.5837,13.339,9.7
25/01/2026 20:36,fashion_mnist,vit,0.3122,0.2298,0.6096,9.63
25/01/2026 20:38,cifar10,vit,0.6026,0.5837,1.62,9.7
27/01/2026 14:41,fashion_mnist,SIFT,0.3356,0.336,49.757,58.75
27/01/2026 15:15,cifar10,SIFT,0.274,0.2694,41.474,51.37
27/01/2026 15:18,fashion_mnist,HIST,0.5633,0.5564,68.165,101.38
27/01/2026 15:25,cifar10,HIST,0.3569,0.3502,198.227,289.41
27/01/2026 15:27,fashion_mnist,cnn,0.916,0.9159,0.1513,10.16
27/01/2026 15:28,cifar10,cnn,0.7944,0.7919,0.1852,15.42
27/01/2026 15:29,fashion_mnist,rnn,0.8833,0.8824,0.2064,1.56
27/01/2026 15:29,cifar10,rnn,0.5706,0.5667,0.2384,1.95
27/01/2026 15:29,fashion_mnist,vit,0.3122,0.2298,0.4335,9.63
27/01/2026 15:30,cifar10,vit,0.6026,0.5837,0.7412,9.7
